"Libellé","région","secteur","trimestre","nombre de salariés","date","part de salariés","part d’hommes","part de femmes","pop france métropolitaine","prop pop","pour 100000 habitants","pop région","estimation avec salariés et non salariés","pour 100000 habitants avec non salariés"
"Activités financières et d'assurance","Auvergne-Rhône-Alpes","Tertiaire","2001-T4",70588,2001.75,93.6750606278241,42.9260023853922,57.0739976146078,59266572,12.0046802708161,992.1343156203427,7114762.476073019,75354.10121638438,1059.123216970357
"Activités immobilières","Auvergne-Rhône-Alpes","Tertiaire","2001-T4",26875,2001.75,80.9033327097309,45.3980810861373,54.6019189138627,59266572,12.0046802708161,377.73573032663785,7114762.476073019,33218.65626527833,466.89761431942156
"Activités scientifiques et techniques, services administratifs et de soutien","Auvergne-Rhône-Alpes","Tertiaire","2001-T4",299481,2001.75,85.245855562656,55.0917902567076,44.9082406298637,59266572,12.0046802708161,4209.290204798207,7114762.476073019,351314.4398907234,4937.823870750367
"Autres activités de services","Auvergne-Rhône-Alpes","Tertiaire","2001-T4",119994,2001.75,78.9764741872223,38.3046311225266,61.6953688774734,59266572,12.0046802708161,1686.549626969845,7114762.476073019,151936.3851512809,2135.508889611476
"Commerce, réparation d'automobiles et de motocycles","Auvergne-Rhône-Alpes","Tertiaire","2001-T4",347946,2001.75,86.4632088486895,53.0752949025437,46.9247050974563,59266572,12.0046802708161,4890.479494855156,7114762.476073019,402420.8731472192,5656.13925272365
"Construction","Auvergne-Rhône-Alpes","Construction","2001-T4",166189,2001.75,76.1828913971963,88.349732295478,11.6502088424899,59266572,12.0046802708161,2335.833424641995,7114762.476073019,218144.77890257144,3066.086600026261
"Fabrication d'autres produits industriels","Auvergne-Rhône-Alpes","Industrie","2001-T4",366099,2001.75,91.9752138798998,70.5466278308938,29.4533721691062,59266572,12.0046802708161,5145.625046952625,7114762.476073019,398040.933591139,5594.577962788675
"Fabrication d'équipements électriques, électroniques, informatiques et fabrication de machines","Auvergne-Rhône-Alpes","Industrie","2001-T4",104073,2001.75,97.5275216469567,74.0080713136318,25.9919286863682,59266572,12.0046802708161,1462.7754665035973,7114762.476073019,106711.41667757898,1499.8591595495984
"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac","Auvergne-Rhône-Alpes","Industrie","2001-T4",62309,2001.75,90.1449880537656,58.2836485601378,41.7163514398622,59266572,12.0046802708161,875.770627755255,7114762.476073019,69120.86999538649,971.5133882239963
"Fabrication de matériels de transport","Auvergne-Rhône-Alpes","Industrie","2001-T4",35179,2001.75,98.88354186718,79.6381737247353,20.3618262752647,59266572,12.0046802708161,494.4508002664481,7114762.476073019,35576.19330348452,500.0334645482183
"Hébergement et restauration","Auvergne-Rhône-Alpes","Tertiaire","2001-T4",98717,2001.75,83.2542911480777,51.8510871155374,48.1489128844626,59266572,12.0046802708161,1387.4953708150588,7114762.476073019,118572.86710233353,1666.5752019283098
