"date","chomage","code_departement","nom_departement","code_region","nom_region"
1982,5.2,"12","Aveyron",76,"Occitanie"
1982.25,5.3,"12","Aveyron",76,"Occitanie"
1982.5,5.5,"12","Aveyron",76,"Occitanie"
1982.75,5.5,"12","Aveyron",76,"Occitanie"
1983,5.6,"12","Aveyron",76,"Occitanie"
1983.25,5.6,"12","Aveyron",76,"Occitanie"
1983.5,5.7,"12","Aveyron",76,"Occitanie"
1983.75,6,"12","Aveyron",76,"Occitanie"
1984,6.3,"12","Aveyron",76,"Occitanie"
1984.25,6.3,"12","Aveyron",76,"Occitanie"
1984.5,6.4,"12","Aveyron",76,"Occitanie"
1984.75,6.5,"12","Aveyron",76,"Occitanie"
1985,6.5,"12","Aveyron",76,"Occitanie"
1985.25,6.4,"12","Aveyron",76,"Occitanie"
1985.5,6.6,"12","Aveyron",76,"Occitanie"
1985.75,6.5,"12","Aveyron",76,"Occitanie"
1986,6.4,"12","Aveyron",76,"Occitanie"
1986.25,6.5,"12","Aveyron",76,"Occitanie"
1986.5,6.5,"12","Aveyron",76,"Occitanie"
1986.75,6.4,"12","Aveyron",76,"Occitanie"
1987,6.4,"12","Aveyron",76,"Occitanie"
1987.25,6.4,"12","Aveyron",76,"Occitanie"
1987.5,6.1,"12","Aveyron",76,"Occitanie"
1987.75,6.1,"12","Aveyron",76,"Occitanie"
1988,6.1,"12","Aveyron",76,"Occitanie"
1988.25,6.1,"12","Aveyron",76,"Occitanie"
1988.5,5.9,"12","Aveyron",76,"Occitanie"
1988.75,5.8,"12","Aveyron",76,"Occitanie"
1989,5.6,"12","Aveyron",76,"Occitanie"
1989.25,5.5,"12","Aveyron",76,"Occitanie"
1989.5,5.4,"12","Aveyron",76,"Occitanie"
1989.75,5.4,"12","Aveyron",76,"Occitanie"
1990,5.5,"12","Aveyron",76,"Occitanie"
1990.25,5.6,"12","Aveyron",76,"Occitanie"
1990.5,5.4,"12","Aveyron",76,"Occitanie"
1990.75,5.3,"12","Aveyron",76,"Occitanie"
1991,5.3,"12","Aveyron",76,"Occitanie"
1991.25,5.3,"12","Aveyron",76,"Occitanie"
1991.5,5.3,"12","Aveyron",76,"Occitanie"
1991.75,5.3,"12","Aveyron",76,"Occitanie"
1992,5.4,"12","Aveyron",76,"Occitanie"
1992.25,5.5,"12","Aveyron",76,"Occitanie"
1992.5,5.6,"12","Aveyron",76,"Occitanie"
1992.75,5.6,"12","Aveyron",76,"Occitanie"
1993,5.6,"12","Aveyron",76,"Occitanie"
1993.25,5.6,"12","Aveyron",76,"Occitanie"
1993.5,5.8,"12","Aveyron",76,"Occitanie"
