"date","chomage","Libellé","idBank","Dernière mise à jour"
1982,6.7,"France métropolitaine","001515842","13/01/2023 12:00"
1982.25,6.8,"France métropolitaine","001515842","13/01/2023 12:00"
1982.5,7,"France métropolitaine","001515842","13/01/2023 12:00"
1982.75,7,"France métropolitaine","001515842","13/01/2023 12:00"
1983,7,"France métropolitaine","001515842","13/01/2023 12:00"
1983.25,7,"France métropolitaine","001515842","13/01/2023 12:00"
1983.5,7.2,"France métropolitaine","001515842","13/01/2023 12:00"
1983.75,7.5,"France métropolitaine","001515842","13/01/2023 12:00"
1984,7.9,"France métropolitaine","001515842","13/01/2023 12:00"
1984.25,8.3,"France métropolitaine","001515842","13/01/2023 12:00"
1984.5,8.5,"France métropolitaine","001515842","13/01/2023 12:00"
1984.75,8.7,"France métropolitaine","001515842","13/01/2023 12:00"
1985,8.8,"France métropolitaine","001515842","13/01/2023 12:00"
1985.25,8.8,"France métropolitaine","001515842","13/01/2023 12:00"
1985.5,8.8,"France métropolitaine","001515842","13/01/2023 12:00"
1985.75,8.8,"France métropolitaine","001515842","13/01/2023 12:00"
1986,8.7,"France métropolitaine","001515842","13/01/2023 12:00"
1986.25,8.8,"France métropolitaine","001515842","13/01/2023 12:00"
1986.5,8.8,"France métropolitaine","001515842","13/01/2023 12:00"
1986.75,8.9,"France métropolitaine","001515842","13/01/2023 12:00"
1987,9,"France métropolitaine","001515842","13/01/2023 12:00"
1987.25,9,"France métropolitaine","001515842","13/01/2023 12:00"
1987.5,8.8,"France métropolitaine","001515842","13/01/2023 12:00"
1987.75,8.8,"France métropolitaine","001515842","13/01/2023 12:00"
1988,8.7,"France métropolitaine","001515842","13/01/2023 12:00"
1988.25,8.6,"France métropolitaine","001515842","13/01/2023 12:00"
1988.5,8.5,"France métropolitaine","001515842","13/01/2023 12:00"
1988.75,8.3,"France métropolitaine","001515842","13/01/2023 12:00"
1989,8.1,"France métropolitaine","001515842","13/01/2023 12:00"
1989.25,7.9,"France métropolitaine","001515842","13/01/2023 12:00"
1989.5,7.8,"France métropolitaine","001515842","13/01/2023 12:00"
1989.75,7.8,"France métropolitaine","001515842","13/01/2023 12:00"
1990,7.7,"France métropolitaine","001515842","13/01/2023 12:00"
1990.25,7.7,"France métropolitaine","001515842","13/01/2023 12:00"
1990.5,7.6,"France métropolitaine","001515842","13/01/2023 12:00"
1990.75,7.6,"France métropolitaine","001515842","13/01/2023 12:00"
1991,7.6,"France métropolitaine","001515842","13/01/2023 12:00"
1991.25,7.7,"France métropolitaine","001515842","13/01/2023 12:00"
1991.5,8,"France métropolitaine","001515842","13/01/2023 12:00"
1991.75,8.2,"France métropolitaine","001515842","13/01/2023 12:00"
1992,8.4,"France métropolitaine","001515842","13/01/2023 12:00"
1992.25,8.6,"France métropolitaine","001515842","13/01/2023 12:00"
1992.5,8.8,"France métropolitaine","001515842","13/01/2023 12:00"
1992.75,9,"France métropolitaine","001515842","13/01/2023 12:00"
1993,9.2,"France métropolitaine","001515842","13/01/2023 12:00"
1993.25,9.5,"France métropolitaine","001515842","13/01/2023 12:00"
1993.5,9.8,"France métropolitaine","001515842","13/01/2023 12:00"
1993.75,10.1,"France métropolitaine","001515842","13/01/2023 12:00"
1994,10.3,"France métropolitaine","001515842","13/01/2023 12:00"
1994.25,10.4,"France métropolitaine","001515842","13/01/2023 12:00"
1994.5,10.3,"France métropolitaine","001515842","13/01/2023 12:00"
1994.75,10.1,"France métropolitaine","001515842","13/01/2023 12:00"
1995,9.8,"France métropolitaine","001515842","13/01/2023 12:00"
1995.25,9.6,"France métropolitaine","001515842","13/01/2023 12:00"
